OverallQual,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,GarageCars,SalePrice
7,2003,856,856,1710,2,2,208500
6,1976,1262,1262,1262,2,2,181500
7,2001,920,920,1786,2,2,223500
7,1915,756,961,1717,1,3,140000
8,2000,1145,1145,2198,2,3,250000
5,1993,796,796,1362,1,2,143000
8,2004,1686,1694,1694,2,2,307000
7,1973,1107,1107,2090,2,2,200000
7,1931,952,1022,1774,2,2,129900
5,1939,991,1077,1077,1,1,118000
5,1965,1040,1040,1040,1,1,129500
9,2005,1175,1182,2324,3,3,345000
5,1962,912,912,912,1,1,144000
7,2006,1494,1494,1494,2,3,279500
6,1960,1253,1253,1253,1,1,157000
7,1929,832,854,854,1,2,132000
6,1970,1004,1004,1004,1,2,149000
4,1967,0,1296,1296,2,2,90000
5,2004,1114,1114,1114,1,2,159000
5,1958,1029,1339,1339,1,1,139000
8,2005,1158,1158,2376,3,3,325300
7,1930,637,1108,1108,1,1,139400
8,2002,1777,1795,1795,2,2,230000
5,1976,1040,1060,1060,1,2,129900
5,1968,1060,1060,1060,1,1,154000
8,2007,1566,1600,1600,2,3,256300
5,1951,900,900,900,1,2,134800
8,2007,1704,1704,1704,2,3,306000
5,1957,1484,1600,1600,1,1,207500
4,1927,520,520,520,1,1,68500
4,1920,649,649,1317,1,1,40000
5,1966,1228,1228,1228,1,1,149350
8,2007,1234,1234,1234,2,2,179900
5,1959,1398,1700,1700,1,2,165500
9,2005,1561,1561,1561,2,2,277500
8,2004,1117,1132,2452,3,3,309000
5,1994,1097,1097,1097,1,2,145000
5,1954,1297,1297,1297,1,2,153000
5,1953,1057,1057,1057,1,1,109000
4,1955,0,1152,1152,2,0,82000
6,1965,1088,1324,1324,2,2,160000
5,1959,1350,1328,1328,1,1,170000
5,1983,840,884,884,1,2,144000
5,1975,938,938,938,1,1,130250
5,1959,1150,1150,1150,1,1,141000
9,2005,1752,1752,1752,2,2,319900
7,2003,1434,1518,2149,1,2,239686
8,2006,1656,1656,1656,2,3,249700
4,1920,736,736,1452,2,0,113000
5,1966,955,955,955,1,1,127000
6,1997,794,794,1470,2,2,177000
6,1934,816,816,1176,1,2,114500
5,1963,816,816,816,1,2,110000
9,1981,1842,1842,1842,0,3,385000
5,1955,384,1360,1360,1,2,130000
6,1964,1425,1425,1425,2,2,180500
8,1999,970,983,1739,2,2,172500
7,2004,860,860,1720,2,2,196500
10,2006,1410,1426,2945,3,3,438780
5,1972,780,780,780,1,1,124900
6,2004,1158,1158,1158,1,2,158000
5,1920,530,581,1111,1,1,101000
8,2006,1370,1370,1370,2,2,202500
7,1921,576,902,1710,2,2,140000
7,1997,1057,1057,2034,2,2,219500
8,2004,1143,1143,2473,2,3,317000
7,1970,1947,2207,2207,2,2,180000
7,2003,1453,1479,1479,2,2,226000
4,1945,747,747,747,1,1,80000
7,1953,1304,1304,2287,2,2,225000
7,1973,2223,2223,2223,2,2,244000
4,1982,845,845,845,1,2,129500
7,1998,832,885,1718,2,2,185000
5,1954,1086,1086,1086,1,2,144900
3,1915,840,840,1605,2,1,107400
4,1973,462,526,988,1,1,91000
4,1956,952,952,952,1,1,135750
5,1948,672,1072,1285,1,1,127000
4,1968,1768,1768,1768,2,0,136500
5,1910,440,682,1230,1,2,110000
6,1968,896,1182,2142,2,1,193500
6,1998,1237,1337,1337,2,2,153500
8,2007,1563,1563,1563,2,3,245000
5,1960,1065,1065,1065,1,2,126500
7,1995,384,804,1474,2,2,168500
8,1991,1288,1301,2417,2,2,260000
6,2005,684,684,1560,2,2,174000
6,2009,612,612,1224,2,2,164500
3,1915,1013,1013,1526,1,0,85000
4,1994,990,990,990,1,0,123600
4,1950,0,1040,1040,1,2,109900
5,1961,1235,1235,1235,1,2,98600
5,1921,876,964,964,1,2,163500
6,1910,1214,1260,2291,2,2,133900
6,1997,824,905,1786,2,2,204750
6,1993,680,680,1470,2,2,185000
7,1999,1588,1588,1588,2,2,214000
4,1965,960,960,960,1,1,94750
5,1920,458,835,835,1,1,83000
4,1959,950,1225,1225,1,0,128950
6,1977,1610,1610,1610,2,2,205000
6,1985,741,977,1732,2,2,178000
5,1979,0,1535,1535,2,2,118964
7,2009,1226,1226,1226,2,3,198900
7,1931,1040,1226,1818,1,1,169500
8,2003,1053,1053,1992,2,2,250000
4,1885,641,1047,1047,1,1,100000
5,1948,789,789,789,1,1,115000
5,1919,793,997,1517,2,0,115000
6,1977,1844,1844,1844,2,2,190000
6,1954,994,1216,1855,2,1,136900
7,2000,384,774,1430,2,2,180000
7,2007,1264,1282,2696,2,3,383970
6,1953,1809,2259,2259,2,2,217000
6,1945,1028,1436,2320,2,1,259500
6,1999,729,729,1458,2,2,176000
5,1962,1092,1092,1092,1,1,139000
5,2006,1125,1125,1125,1,2,155000
7,1990,1673,1699,3222,3,3,320000
6,2005,728,728,1456,2,2,163990
6,1969,938,988,988,1,2,180000
4,1939,732,772,1123,1,1,100000
6,1958,1080,1080,1080,1,1,136000
6,1993,1199,1199,1199,2,2,153900
6,1979,1362,1586,1586,2,2,181000
6,1935,520,520,754,1,0,84500
6,1976,1078,958,958,2,2,128000
5,1930,672,840,840,1,0,87000
6,1966,660,660,1348,1,2,155000
5,1958,1008,1053,1053,1,2,150000
7,1966,924,1216,2157,2,2,226000
6,2000,992,1022,2054,2,2,244000
5,1959,1063,1327,1327,1,2,150750
8,2001,1267,1296,1296,2,2,220000
